,Material,A,B,Sample
0,10acetone,2.308459263661708e-11,2.900793830563307,PeR.csv
1,20acetone,3.3021709542996326e-11,5.239797528589485,PeR.csv
2,30acetone,3.936122531063425e-11,7.730409519688554,PeR.csv
3,40acetone,9.026449203303334e-11,8.718977645547481,PeR.csv
4,50acetone,1.7198258593824274e-10,12.317121843055151,PeR.csv
5,60acetone,7.610804297065127e-11,14.969060145718858,PeR.csv
6,70acetone,1.871414528293358e-10,16.306263747641893,PeR.csv
7,80acetone,2.87730089026183e-10,17.49250121075322,PeR.csv
8,90acetone,2.247834636239211e-10,19.03611095724704,PeR.csv
