85070 Dielectric Probe Software E07.02.29,,,,,frequency,e',e''/e'
Keysight Technologies,N9923A,MY51491690,A.08.17,,2000000,23.7284,1.2744
Title:,Title,,,,61980000,17.3217,0.0927
Sub Title:,SubTitle,,,,121960000,16.3051,0.093
Date:,"Thursday, September 28, 2017 14:35:35",,,,181940000,14.5055,0.0904
,,,,,241920000,12.7598,0.017
,,,,,301900000,11.8683,-0.1035
,,,,,361880000,12.2608,-0.209
,,,,,421860000,13.9246,-0.2136
,,,,,481840000,15.9944,-0.1314
,,,,,541820000,17.3334,-0.0364
,,,,,601800000,17.7585,0.0164
,,,,,661780000,18.0533,0.0108
,,,,,721760000,18.6212,-0.0181
,,,,,781740000,19.4854,-0.0486
,,,,,841720000,20.3897,-0.0699
,,,,,901700000,20.8686,-0.0705
,,,,,961680000,20.8286,-0.0562
,,,,,1021660000,20.1961,-0.0309
,,,,,1081640000,19.2906,-0.0092
,,,,,1141620000,18.5356,0.0027
,,,,,1201600000,18.0665,0.0111
,,,,,1261580000,17.8007,0.0191
,,,,,1321560000,17.7848,0.0308
,,,,,1381540000,17.968,0.0412
,,,,,1441520000,18.3196,0.0456
,,,,,1501500000,18.5957,0.0445
,,,,,1561480000,18.664,0.0403
,,,,,1621460000,18.5781,0.0371
,,,,,1681440000,18.4663,0.0362
,,,,,1741420000,18.4153,0.031
,,,,,1801400000,18.3621,0.0236
,,,,,1861380000,18.2129,0.0197
,,,,,1921360000,18.0286,0.022
,,,,,1981340000,17.9725,0.0272
,,,,,2041320000,18.0743,0.033
,,,,,2101300000,18.2744,0.0384
,,,,,2161280000,18.3866,0.0382
,,,,,2221260000,18.4276,0.04
,,,,,2281240000,18.4674,0.046
,,,,,2341220000,18.4958,0.0522
,,,,,2401200000,18.5055,0.053
,,,,,2461180000,18.4699,0.0482
,,,,,2521160000,18.3626,0.0436
,,,,,2581140000,18.2729,0.044
,,,,,2641120000,18.2897,0.0502
,,,,,2701100000,18.385,0.0561
,,,,,2761080000,18.4861,0.0597
,,,,,2821060000,18.5053,0.0619
,,,,,2881040000,18.4371,0.065
,,,,,2941020000,18.4027,0.0684
,,,,,3001000000,18.4535,0.0715
,,,,,3060980000,18.4804,0.0724
,,,,,3120960000,18.4085,0.0698
,,,,,3180940000,18.3118,0.0676
,,,,,3240920000,18.2784,0.0669
,,,,,3300900000,18.3603,0.0707
,,,,,3360880000,18.4045,0.0753
,,,,,3420860000,18.438,0.0784
,,,,,3480840000,18.4658,0.0783
,,,,,3540820000,18.5818,0.0767
,,,,,3600800000,18.6806,0.0783
,,,,,3660780000,18.5789,0.0827
,,,,,3720760000,18.4293,0.0882
,,,,,3780740000,18.4052,0.0898
,,,,,3840720000,18.5135,0.0868
,,,,,3900700000,18.5688,0.0856
,,,,,3960680000,18.4898,0.0888
,,,,,4020660000,18.427,0.0951
,,,,,4080640000,18.5742,0.096
,,,,,4140620000,18.8392,0.0938
,,,,,4200600000,18.8742,0.091
,,,,,4260580000,18.7053,0.0948
,,,,,4320560000,18.5389,0.1018
,,,,,4380540000,18.7414,0.1053
,,,,,4440520000,18.9419,0.1047
,,,,,4500500000,18.8857,0.1059
,,,,,4560480000,18.6835,0.1147
,,,,,4620460000,18.6729,0.1238
,,,,,4680440000,18.9153,0.1279
,,,,,4740420000,19.0997,0.1251
,,,,,4800400000,18.9616,0.123
,,,,,4860380000,18.7503,0.1257
,,,,,4920360000,18.8369,0.1301
,,,,,4980340000,19.1379,0.1303
,,,,,5040320000,19.2171,0.131
,,,,,5100300000,18.9016,0.1382
,,,,,5160280000,18.5829,0.146
,,,,,5220260000,18.664,0.1536
,,,,,5280240000,18.9145,0.1579
,,,,,5340220000,18.9524,0.1604
,,,,,5400200000,18.8052,0.1644
,,,,,5460180000,18.9114,0.168
,,,,,5520160000,19.3193,0.1681
,,,,,5580140000,19.5977,0.1714
,,,,,5640120000,19.3316,0.1723
,,,,,5700100000,18.7854,0.1728
,,,,,5760080000,18.6074,0.1766
,,,,,5820060000,18.7579,0.1756
,,,,,5880040000,18.7803,0.1739
,,,,,5940020000,18.5428,0.1783
,,,,,6000000000,18.3398,0.1914
