85070 Dielectric Probe Software E07.02.29,,,,,,frequency,e'
Keysight Technologies,N9923A,MY51491690,A.08.17,,,2000000,4.3435
Title:,Title,,,,,61980000,3.1639
Sub Title:,SubTitle,,,,,121960000,2.8385
Date:,"Wednesday, September 13, 2017 18:12:20",,,,,181940000,2.8138
,,,,,,241920000,2.9774
,,e'',,,,301900000,3.1497
,,-4.8006,,,,361880000,3.3187
,,-0.4634,,,,421860000,3.4852
,,-0.943,,,,481840000,3.6316
,,-1.4582,,,,541820000,3.7117
,,-1.6902,,,,601800000,3.7169
,,-1.6449,,,,661780000,3.7475
,,-1.3598,,,,721760000,3.8097
,,-0.8998,,,,781740000,3.8842
,,-0.4073,,,,841720000,3.9636
,,-0.035,,,,901700000,3.9991
,,0.0909,,,,961680000,3.9845
,,-0.0016,,,,1021660000,3.9339
,,-0.1158,,,,1081640000,3.8195
,,-0.3126,,,,1141620000,3.7309
,,-0.5292,,,,1201600000,3.6768
,,-0.6461,,,,1261580000,3.6807
,,-0.6719,,,,1321560000,3.7395
,,-0.4888,,,,1381540000,3.8491
,,-0.2628,,,,1441520000,3.9957
,,-0.0672,,,,1501500000,4.0826
,,0.0319,,,,1561480000,4.0994
,,0.0684,,,,1621460000,4.0396
,,0.0593,,,,1681440000,3.9441
,,-0.0055,,,,1741420000,3.866
,,-0.1014,,,,1801400000,3.7738
,,-0.1578,,,,1861380000,3.7239
,,-0.1683,,,,1921360000,3.7227
,,-0.1494,,,,1981340000,3.7788
,,-0.1283,,,,2041320000,3.839
,,-0.0984,,,,2101300000,3.9087
,,-0.0417,,,,2161280000,3.952
,,0.0166,,,,2221260000,3.9822
,,0.055,,,,2281240000,3.9883
,,0.0888,,,,2341220000,3.9573
,,0.1094,,,,2401200000,3.8655
,,0.1343,,,,2461180000,3.7952
,,0.1384,,,,2521160000,3.7573
,,0.1284,,,,2581140000,3.7348
,,0.1181,,,,2641120000,3.7397
,,0.0969,,,,2701100000,3.731
,,0.0876,,,,2761080000,3.7683
,,0.0851,,,,2821060000,3.8057
,,0.088,,,,2881040000,3.8303
,,0.1027,,,,2941020000,3.8339
,,0.1229,,,,3001000000,3.7999
,,0.1529,,,,3060980000,3.7835
,,0.1762,,,,3120960000,3.7679
,,0.1862,,,,3180940000,3.7547
,,0.1826,,,,3240920000,3.7555
,,0.1691,,,,3300900000,3.7565
,,0.14,,,,3360880000,3.7786
,,0.1146,,,,3420860000,3.8024
,,0.1025,,,,3480840000,3.849
,,0.0933,,,,3540820000,3.8454
,,0.105,,,,3600800000,3.8584
,,0.1123,,,,3660780000,3.8205
,,0.1248,,,,3720760000,3.81
,,0.148,,,,3780740000,3.7962
,,0.1543,,,,3840720000,3.8044
,,0.1693,,,,3900700000,3.816
,,0.1608,,,,3960680000,3.8103
,,0.1519,,,,4020660000,3.8229
,,0.1478,,,,4080640000,3.8509
,,0.1531,,,,4140620000,3.8528
,,0.1537,,,,4200600000,3.8413
,,0.1531,,,,4260580000,3.8421
,,0.1641,,,,4320560000,3.8804
,,0.1821,,,,4380540000,3.8827
,,0.2032,,,,4440520000,3.8546
,,0.2002,,,,4500500000,3.8535
,,0.1851,,,,4560480000,3.8348
,,0.1955,,,,4620460000,3.8464
,,0.198,,,,4680440000,3.8451
,,0.1922,,,,4740420000,3.8515
,,0.2156,,,,4800400000,3.8587
,,0.2167,,,,4860380000,3.8661
,,0.2287,,,,4920360000,3.8754
,,0.2464,,,,4980340000,3.8965
,,0.2523,,,,5040320000,3.8829
,,0.2531,,,,5100300000,3.8542
,,0.2481,,,,5160280000,3.8519
,,0.2493,,,,5220260000,3.8593
,,0.241,,,,5280240000,3.8841
,,0.2503,,,,5340220000,3.8958
,,0.2542,,,,5400200000,3.9067
,,0.2626,,,,5460180000,3.9173
,,0.276,,,,5520160000,3.9236
,,0.2962,,,,5580140000,3.9403
,,0.3117,,,,5640120000,3.9144
,,0.3209,,,,5700100000,3.8754
,,0.3337,,,,5760080000,3.8597
,,0.3417,,,,5820060000,3.8652
,,0.3446,,,,5880040000,3.8764
,,0.3483,,,,5940020000,3.891
,,0.3455,,,,6000000000,3.9065
,,0.3446,,,,,
,,0.3722,,,,,
,,0.3795,,,,,
,,0.3846,,,,,
,,0.4089,,,,,
,,0.4304,,,,,
